TransactionNo,TotalQuantity,TotalMoney
581483,80995,12.38
578841,12540,6.19
576365,13956,1442.1500000000003
574941,14149,1492.7900000000004
574328,4981,2537.1400000000003
573585,5195,16222.64
572035,13392,1578.9099999999996
571653,5918,2408.09
567423,12572,160.7
566595,7824,176.67
565150,4871,2111.34
563614,12196,1141.3300000000002
562955,2496,5735.09
563076,14730,1407.0099999999995
562439,11848,249.95
558475,4136,9217.43
558262,8998,784.9000000000001
556917,15049,1657.46
556267,9811,350.15000000000003
552883,12266,1083.4199999999998
550461,9014,66.25000000000001
548203,5963,2013.42
548011,11116,1059.03
545475,10272,1092.98
541431,74215,11.32
537434,1867,10154.96
